teamname,dragons,teamkills,towers,totalgold
BRUTE,70.0,515,150.0,2058694
WAP Esports,70.0,438,179.0,1886543
Rich Gang,70.0,459,198.0,1739298
DetonatioN FocusMe Academy,69.0,819,234.0,2346391
Monta Club,69.0,579,218.0,2200019
EKO Esports,68.0,551,173.0,2075392
Spirit Quartz Gaming,68.0,653,189.0,2007689
LYON,68.0,367,163.0,1737413
Rogue,68.0,334,139.0,1748763
Sicar Esports,68.0,384,185.0,1567958
Dignitas,67.0,381,151.0,2107076
G2 Hel,67.0,595,214.0,1955178
Team Paradox,67.0,599,221.0,2207925
Fukuoka SoftBank HAWKS gaming,66.0,547,193.0,2498175
Guinea Pink,66.0,546,207.0,1992904
ODD Esports,66.0,467,146.0,1801899
Aurora,65.0,532,165.0,2184981
GTZ Esports,65.0,416,153.0,1536362
Dynamo Eclot Talents,65.0,412,131.0,1592580
MY STAR,64.0,494,171.0,1983994
DOCISK,63.0,480,121.0,1524677
Dopamina E-Sport,62.0,579,210.0,1965985
Karmine Corp Blue Stars,62.0,514,176.0,2117035
Supernova,62.0,440,196.0,1896047
Odivelas Sports Club,61.0,489,170.0,1604401
Skillcamp,60.0,390,130.0,1907472
MGN Vikings Academy,59.0,435,135.0,1389605
RATZ,59.0,437,168.0,1817810
PÊEK Gaming,59.0,362,148.0,1479071
CITA Kaizen,58.0,484,156.0,1421253
Royal Never Give Up,57.0,373,139.0,1847921
For The Win Esports,57.0,514,160.0,1503627
EXILE esports,57.0,455,136.0,1925453
SK Gaming,55.0,292,123.0,1726533
KAOS e-sport,55.0,514,140.0,1810048
Kiedyś Miałem Fun,55.0,531,208.0,1639792
Venomcrest Esports,55.0,432,140.0,1716958
Never Give Up,54.0,407,131.0,1503604
Oh My God,54.0,372,133.0,1831221
VelbeliKaizokudan,54.0,544,162.0,2095691
Chiefs Esports Club,53.0,394,144.0,2188634
Pulse Star,51.0,376,127.0,1671906
GOAL,51.0,480,150.0,1447004
LYON Academy,50.0,418,157.0,1516130
Fluxo W7M,50.0,260,88.0,1483323
FN Esports,48.0,369,127.0,1132765
Disguised,48.0,245,107.0,1566033
Apex Mission Impossible,48.0,283,106.0,1489692
Team BDS Academy,48.0,399,135.0,1667696
Green Dolphin Gaming,48.0,312,123.0,1252913
V3 Esports,47.0,350,121.0,1340698
SN CyberCore Esports,46.0,415,116.0,1540108
ZETA,46.0,268,92.0,1340144
eQuizers,46.0,271,122.0,1092687
aNc Legends,45.0,329,110.0,1344595
Nigma Galaxy,45.0,518,94.0,1535082
SDM Tigres,45.0,409,146.0,1361096
Team Evermeet,44.0,330,109.0,1252806
Bamboo Juice,44.0,361,107.0,993315
Leviatan,42.0,378,137.0,1802568
Golden Lions,42.0,341,98.0,1081844
DRX Academy,42.0,593,105.0,2423825
Guasones,41.0,227,68.0,1332235
Underworld Esports,39.0,214,97.0,922033
Malvinas Gaming,39.0,333,110.0,1158954
Citadel Gaming,38.0,279,107.0,977837
Macko Esports,38.0,354,162.0,1139870
Dorado Gaming,37.0,306,110.0,988180
Hyper Vortex Esports,37.0,275,115.0,916069
Mila Gaming,36.0,319,85.0,906941
Lenovo Legion Honvéd,36.0,283,77.0,818867
Gaming Barcelona,34.0,233,64.0,995405
CORE 128,34.0,178,52.0,819285
Hands,33.0,253,66.0,1244788
Vortex (Japanese Team),33.0,316,87.0,975813
Icon Esports,33.0,205,65.0,754781
Seven Dark,32.0,258,85.0,1145246
Team Refuse,32.0,246,76.0,993373
Keypulse Esports,31.0,243,75.0,758989
Lechuga Gaming,31.0,267,93.0,744152
Jolly Rogers,31.0,190,65.0,650952
EDG Youth Team,30.0,211,59.0,622636
Dream Makers,30.0,219,90.0,939951
The Secret Club,30.0,265,65.0,881731
Lupus Esports,30.0,328,85.0,1243266
Night Cap,28.0,210,62.0,725801
Fractious eSports,27.0,147,57.0,679081
Contrata Logo Meu Time,27.0,238,86.0,810797
devils.one,27.0,206,63.0,853899
DCT eSports,25.0,182,66.0,635216
Mental Over Tempo,25.0,175,57.0,566496
SINS Esports,24.0,179,65.0,501567
We Can Win,24.0,208,75.0,622990
Andromeda Gaming,24.0,198,72.0,673208
Radical Pop Gaming,23.0,261,37.0,1022499
LGD Gaming Young Team,23.0,168,61.0,549267
Weibo Gaming Youth Team,23.0,161,58.0,622354
Magaza Esports,23.0,180,56.0,650113
Estral Esports,22.0,153,69.0,434791
Team WE Academy,22.0,168,55.0,490850
Silent Storm Esports,22.0,172,43.0,530442
Caldya Esport,21.0,147,67.0,537523
Partizan Esports,21.0,191,64.0,558193
Black Dog,21.0,174,45.0,548489
Hurricane of Feathers,21.0,188,51.0,728525
ZGDX Gaming,21.0,153,47.0,579152
Priority,21.0,165,49.0,651888
XV eSports,20.0,111,49.0,476723
Sponge Gaming,20.0,220,55.0,589829
e-Champ Gaming,19.0,141,47.0,540132
Nice Try,19.0,158,52.0,498471
3BL Esports,18.0,98,28.0,363222
FUSION (Latin American Team),18.0,186,68.0,552050
Hanoi Rookies Esports,17.0,217,63.0,661322
GenZ Gaming (2025 Vietnamese Team),17.0,132,47.0,417940
Kyo eSports,17.0,134,35.0,398686
Barcząca Esports,17.0,89,33.0,366418
Anyone's Legend.Young,17.0,197,56.0,593471
Oh My God Academy,16.0,138,48.0,381918
Mighty Eagles,16.0,165,50.0,509976
Fantastic Esports,16.0,111,38.0,340821
Crusaders,16.0,125,41.0,407628
PRINCIPALITY,16.0,131,37.0,548938
Alpha7 Esports,15.0,132,54.0,552628
evil genius (RTV Team),15.0,142,31.0,405419
Gwenchana,15.0,159,55.0,527447
LittleSans,15.0,120,43.0,342297
LNG Academy,15.0,216,69.0,551348
Top Esports Challenger,14.0,146,51.0,423225
White Dragons,14.0,136,44.0,373358
Isurus,14.0,89,40.0,419092
VeLocitY (Japanese Team),14.0,91,27.0,464745
TeamOrangeGaming Academy,14.0,140,39.0,385888
Apex Predator,14.0,117,44.0,316652
DKB XPERION NXT,14.0,131,38.0,372721
ZeroZone Gaming,13.0,127,37.0,615373
Dark Roses,13.0,80,22.0,305375
BERZLOY,12.0,94,28.0,249752
Vancouver Impact,12.0,75,25.0,457529
Bilibili Gaming Junior,12.0,118,33.0,414876
Hungkuang Falcon (弘光獵鷹),12.0,236,41.0,843174
Ligre Gaming,12.0,58,14.0,233661
The Forbidden Five,12.0,92,15.0,466129
Leões Porto Salvo Esports,12.0,101,32.0,389347
HUTECH CHICKEN,11.0,98,24.0,289131
Tigers eSports,11.0,83,15.0,325376
Team Mentality,11.0,90,24.0,278461
Connect Arena Esports,10.0,176,20.0,695021
Soul's Heart Esport,10.0,86,25.0,265736
ThunderTalk Gaming Young,10.0,107,28.0,361794
Temper &amp; Friends,10.0,62,26.0,181134
regnum4games,10.0,56,24.0,195874
Team Meliora,10.0,82,18.0,297243
Venus Gaming,10.0,143,43.0,366362
No Barry Berry,10.0,93,26.0,291262
htp eSport Akademie Hannover,9.0,76,20.0,208772
Human Apex Predator,9.0,73,17.0,201530
Ankora Gaming,9.0,88,21.0,281843
BloomStorm,9.0,82,17.0,445857
NGU eSports,8.0,85,26.0,191475
GenZ Gaming,8.0,114,23.0,400468
ΣΤΕΝΑΧΩΡΕΜΕΝΟΙ,8.0,51,15.0,223911
NORTHS FURY,8.0,56,15.0,213669
Xibalbá Esports,8.0,44,17.0,252834
HST,8.0,59,14.0,222557
Howl Esports,8.0,108,38.0,369158
Orzeł Barcząca Esports,8.0,75,18.0,273753
Inside Games,8.0,68,23.0,258276
Otter Side,7.0,50,20.0,120277
BWE Esports,7.0,48,26.0,187170
Diver (Portuguese Team),7.0,47,17.0,148587
REDPack Esports,6.0,53,13.0,217056
VfB eSports,6.0,55,18.0,178516
VININE,6.0,82,12.0,196229
Team High Ground,6.0,23,14.0,117142
Sportia Khore,6.0,27,5.0,113116
Rage Bait e-Sports,6.0,43,13.0,138132
Permitta eSports,6.0,69,19.0,263690
5M Esports,5.0,30,8.0,110639
Icon Esports (Mexican Team),5.0,41,16.0,171077
Footprint Gaming,5.0,37,9.0,137424
Grow uP eSports,5.0,79,21.0,199670
AKA HERO,5.0,64,23.0,194114
Void Requiem,4.0,58,9.0,151425
Geração Estrutura,4.0,48,11.0,192288
Papo Secos,3.0,25,8.0,105569
Metin2 Enjoyers,3.0,29,0.0,85097
A One Man Army Prime Academy,3.0,34,8.0,105380
Melilla Titans,2.0,20,5.0,103058
Cupid Esports,2.0,52,14.0,227969
Berimbados,2.0,19,1.0,74176
Black Lion,2.0,21,4.0,89184
eSports Cologne e.V.,2.0,27,6.0,104631
Paputs Gaming,2.0,62,6.0,220297
KrabbelGruppeAlpha,2.0,8,0.0,84715
Evolve eSports,2.0,21,3.0,101591
JY Gaming,2.0,35,4.0,110529
Team Blaze 1,1.0,10,0.0,73577
Str1ve eSports,1.0,10,3.0,81818
PaiDA Miwan Bao,1.0,10,2.0,48063
Team Revolta,1.0,26,4.0,54123
Natus Vincere,0.0,10,3.0,87088
All for One Gaming,0.0,27,4.0,88222
A One Man Army Prime,0.0,10,1.0,65655
Münster Esports - Golden Goats,0.0,27,0.0,76350
SK Gaming Avarosa,0.0,19,2.0,82253
Team Tockers,0.0,35,10.0,64917
Broke,0.0,24,5.0,86438
